date,so2_max_du,so2_mean_du,so2_15_du
2023-02-08,1.74027,0.259755,0.038967
2023-02-09,-0.487582,-0.487582,0.0106507
2023-02-10,0.792094,0.211571,0.0936965
2023-02-11,0.455898,0.444928,0.0410488
2023-02-14,2.93599,0.979236,-0.0504488
2023-02-15,1.26478,0.202876,0.0584688
2023-02-16,0.945279,0.237963,0.0575372
2023-02-17,1.0575,0.120054,0.0790356
2023-02-18,2.13121,0.398544,0.11757
2023-02-19,0.484687,-0.0223978,0.0713979
2023-02-20,0.547854,-0.0309143,0.00637758
2023-02-22,1.51209,0.169086,0.0669319
2023-02-23,1.1248,-0.162342,-0.00269304
2023-02-26,2.10352,0.481111,0.101474
2023-03-01,0.706392,0.191127,-0.0266602
2023-03-03,1.65542,0.112459,0.0448381
2023-03-04,1.08107,0.0761882,0.02273
2023-03-05,1.16545,0.0587299,0.0295703
2023-03-06,1.16051,0.250119,0.110448
2023-03-07,1.33858,0.166188,0.0600319
2023-03-08,1.7415,0.207049,0.0717156
2023-03-09,6.479,1.58062,0.388714
2023-03-10,54.8631,5.53109,1.48727
2023-03-11,5.14963,0.989491,0.277222
2023-03-12,1.47378,0.271612,0.128393
2023-03-13,4.61888,1.80326,0.377416
2023-03-14,5.88867,1.20837,0.286901
2023-03-15,1.52024,-0.135773,-0.0335407
2023-03-16,2.33438,0.284806,0.0566926
2023-03-17,1.84948,0.397029,0.0746468
2023-03-18,5.851,1.03769,0.171886
2023-03-19,0.876581,-0.34714,-0.0737326
2023-03-20,1.04743,-0.0724662,-0.0284763
2023-03-21,3.58033,0.683606,0.191648
2023-03-22,1.95502,0.635776,0.203134
2023-03-23,4.66934,1.85989,0.191635
2023-03-24,2.27182,0.201832,-0.00106195
2023-03-25,0.660287,-0.176428,0.048232
2023-03-26,1.04769,-0.136265,-0.0290924
2023-03-27,0.474756,-0.119564,-0.0509881
2023-03-29,0.737216,0.0542064,-0.0304799
2023-03-30,0.186322,-0.256289,0.0849717
2023-03-31,0.675982,-0.00186741,0.00875622
2023-04-02,1.23558,0.32691,0.151674
2023-04-03,1.92179,1.00156,0.0239279
2023-04-04,0.663992,0.0457127,0.0482103
2023-04-05,1.45703,0.115494,0.048563
2023-04-06,0.996763,0.147565,0.0810183
2023-04-07,1.40136,0.153597,0.0721083
2023-04-08,1.41112,0.105291,0.0388872
2023-04-09,1.17867,0.180699,0.0598016
2023-04-10,0.463737,0.333224,0.0158036
2023-04-11,1.67098,0.160887,0.0980794
2023-04-12,1.53716,0.175326,0.0494115
2023-04-13,0.798586,0.0884704,0.0764247
2023-04-14,0.93174,0.130047,0.0545238
2023-04-15,1.3187,0.160361,0.0702189
2023-04-16,0.50111,-0.0089833,-0.00774174
2023-04-17,1.21275,0.0757341,0.0361282
2023-04-18,1.37371,0.392123,0.161324
2023-04-19,2.58377,0.5501,0.13009
2023-04-20,2.67998,0.367403,0.106922
2023-04-21,2.68486,0.486696,0.130852
2023-04-22,3.90801,0.708111,0.224786
2023-04-23,2.25986,0.692484,0.166906
2023-04-24,3.02255,0.327693,0.0306258
2023-04-25,2.35337,0.347765,0.0613581
2023-04-26,1.81004,0.533548,0.112536
2023-04-27,3.09857,0.855885,0.24426
2023-04-28,2.04695,0.369082,0.111138
2023-04-29,1.23721,0.400293,0.0834804
2023-04-30,0.976923,0.0760907,0.0311843
2023-05-01,2.46193,0.437506,0.112459
2023-05-02,3.37824,0.993461,0.231412
2023-05-03,3.11075,0.825807,0.213047
2023-05-04,3.00025,1.3157,0.255223
2023-05-05,3.42651,0.245601,0.0202168
2023-05-07,1.82673,0.479713,0.127914
2023-05-08,1.13251,0.326722,0.0526532
2023-05-09,1.68631,0.592098,0.109212
2023-05-10,3.53972,0.868457,0.147373
2023-05-11,1.80063,0.315779,0.0745132
2023-05-12,3.58663,0.656058,0.138602
2023-05-13,3.71004,0.588646,0.203641
2023-05-14,2.90331,0.665584,0.163318
2023-05-15,2.64799,0.244941,0.0430598
2023-05-16,1.56,0.267709,0.0572925
2023-05-17,1.81636,0.3312,0.0955984
2023-05-18,1.38159,0.148553,0.0606292
2023-05-19,2.24324,0.774577,0.164825
2023-05-20,2.87972,0.750314,0.16352
2023-05-21,0.227469,-0.526908,0.111506
2023-05-22,1.43482,0.386369,0.129294
2023-05-23,1.67152,0.517492,0.182056
2023-05-24,2.66646,0.723942,0.221801
2023-05-25,2.0963,0.797807,0.239647
2023-05-26,2.29297,0.876239,0.101707
2023-05-27,1.93665,0.395974,0.0463219
2023-05-28,2.99999,0.755126,0.134774
2023-05-29,4.0966,0.710499,0.192687
2023-05-30,3.09887,0.600996,0.20382
2023-05-31,1.49017,0.0870258,0.0199219
2023-06-01,3.12812,0.657906,0.152056
2023-06-02,3.28799,0.893754,0.233281
2023-06-03,1.7975,0.663729,0.199387
2023-06-04,1.37328,0.179995,0.0607304
2023-06-05,2.06046,0.342419,0.0963188
2023-06-08,1.65315,0.361665,0.0121217
2023-06-09,4.18674,0.597259,0.169021
2023-06-10,4.85317,1.37529,0.412351
2023-06-11,3.0093,0.442217,0.0763886
2023-06-12,2.90311,0.732177,0.0326737
